//
// Definitions:
//
186,000 mps: ^^It's not just a good idea -- It's the law.
A.A.A.A.A.:  ^^An organization for drunks who drive
Honorable:   ^^Afflicted with an impediment in one's reach.^^In legislative bodies, it is customary to mention all members as honorable; as, "the honorable gentleman is a scurvy cur."
Idiot:       ^^A member of a large and powerful tribe whose influence in human affairs has always been dominant and controlling.
Ingrate:     ^^A man who bites the hand that feeds him, and then complains of indigestion.
Ink:         ^^A villainous compound of tannogallate of iron, gum-arabic, and water, chiefly used to facilitate the infection of idiocy and promote intellectual crime.
Interpreter: ^^One who enables two persons of different languages to understand each other by repeating to each what it would have been to the interpreter's advantage for the other to have said.
John Birch Society:  ^^That pathetic manifestation of organized apoplexy. - Edward P. Morgan
Justice:     ^^A decision in your favor.
Kin:         ^^An affliction of the blood.
Kleptomaniac:^^A rich thief.
Labor:       ^^One of the processes by which A acquires property for B.
Liar:        ^^A lawyer with a roving commission.
Lie:         ^^A very poor substitute for the truth, but the only one discovered to date.
Lunatic Asylum:^^The place where optimism most flourishes.
Mad:         ^^Affected with a high degree of intellectual independence...
Magnet, n.:    Something acted upon by magnetism^Magnetism, n.: Something acting upon a magnet.^^The two definitions immediately foregoing are condensed from the works of one thousand eminent scientists, who have illuminated the subject with a great white light, to the inexpressible advancement of human knowledge.
Magpie:      ^^A bird whose thievish disposition suggested to someone that it might be taught to talk.
Majority:    ^^That quality that distinguishes a crime from a law.
Menu:        ^^A list of dishes which the restaurant has just run out of.
Microbiology Lab:    ^^Staph Only!
Middle Age:  ^^Halfway between adolescence and obsolescence!
Misfortune:  ^^The kind of fortune that never misses.
Miss:        ^^A title with which we brand unmarried women to indicate that they are in the market.
Monday:      ^^In Christian countries, the day after the baseball game.
Monday:      ^^In Christian countries, the day after the football game.
Noncombatant:^^A dead Quaker. - Ambrose Bierce
Ocean:       ^^A body of water occupying about two-thirds of a world made for man -- who has no gills.
Peace:       ^^In international affairs, a period of cheating between two periods of fighting.
Pig:         ^^An animal (Porcus omnivorous) closely allied to the human race by the splendor and vivacity of its appetite, which, however, is inferior in scope, for it balks at pig.
Policy:      ^^A common substitute for good judgement. - Kelvin Throop
Reputation:  ^^What others are not thinking about you.
Wit:         ^^The salt with which the American Humorist spoils his cookery... by leaving it out.
Year:        ^^A period of three hundred and sixty-five disappointments.
//
// Definitions - Computing
//
Access Time: ^^The time between the instant at which information is called for, and the instant at which management expects the final report.
Any given program:^^Costs more and takes longer each time it is run.
Any given program:^^Once running, is obsolete.
Any given program:^^Will expand to fill all available resources.
Assembler:   ^^One who drops his card deck.
Bit:         ^^The increment by which programmers slowly go mad.
Breakpoint:  ^^The point at which programmer increments past last bit available.
Chaining:    ^^A method of attaching programmers to desk, to speed up output.
Checkpoint:  ^^The location from which a programmer draws his salary.
Core storage:^^A receptacle for the center section of apples.
Counter:     ^^An area over which martini's are served.
Crash:       ^^What a detached programmer would dearly love to do, for at least eight hours.
Default:     ^^De line west of which de state of california will float off to sea at de next major quake.
Device:      ^^Medieval torture instrument such as thumbscrew, iron maiden.
Documentation:^^A manual which tells you how to use a program, system, or utility one version ago, and which is now unsupported.
Error:       ^^What someone else has made when they disagree with your computer output.
External Storage:    ^^Wastebasket.
Fixed Word Length:   ^^Four letter word used by programmers in a state of confusion.
GIVE:        ^^Support the helpless victims of computer error.
Hardware:    ^^Nuts, bolts, and circuit boards "left over" after repairman has reassembled cpu.
I/O Device:  ^^Note you sign for the bank in/order to get loan for new (old) car.
Library:     ^^An organized collection of obsolete material.
Low Order Position:  ^^The programmer's location in the chain of command.
Mainframe:   ^^Primary person who just got set up for the blame of the system crash.
Microsecond: ^^Amount of time needed for a program to bomb.
Moral:       ^^Design before you implement.
Nanosecond:  ^^Measure of time on mork's planet ork.
Off-Line:    ^^Uncharitable remarks programmer makes to wife or husband upon being phoned at 9pm to come in because system just crashed.
On-Line:     ^^Programmer trying to deal rationally on phone with management at 9pm.
Peripheral:  ^^Now you see it, now you don't...
Printout:    ^^A document to verify data you know is wrong anyway.
Programmer:  ^^Red eyed mumbling mammal, capable of communicating with inanimate objects.
Programming Department:  ^^Mistakes made while you wait.
Source file: ^^One which was "appropriated" from one of the competitors.
Switch:      ^^When management changes its mind.
//
// their laws etc
//
Morfy's law:^^Enythink thit ken go rong willl.
MURPHY'S LAW:^^If anything can go wrong, it will.
//
Murphy's Philosophy:^^Smile . . . tomorrow will be worse.
//
Murphy's First Corollary:^^Left to themselves, things tend to go from bad to worse.
Murphy's Second Corollary:^^It is impossible to make anything foolproof because fools are so ingenious
Murphy's Seventh Corollary:^^Every solution breeds new problems.
//
Murphy's Constant:^^Matter will be damaged in direct proportion to its value
Quantized Revision of Murphy's Law:^^Everything goes wrong all at once.
//
Murphy's First Law:^^Nothing is as easy as it looks.
Murphy's Second Law:^^Everything takes longer than you think.
Murphy's Third Law:^^Anything that can go wrong will go wrong, and at the worst possible time.
Murphy's Fourth Law:^^If there is a possibility of several things going wrong, the one that will cause the most damage will be the one to go wrong.
Murphy's Fifth Law:^^If anything just cannot go wrong, it will anyway.
Murphy's Seventh Law:^^Left to themselves, things tend to go from bad to worse.
Murphy's Eighth Law:^^If everything seems to be going well,^you have obviously overlooked something.
Murphy's Eleventh Law:^^It is impossible to make anything foolproof because fools are so ingenious
//
Murphy's Flu Philosophy:^^Even water tastes bad when taken on doctor's orders.
Murphy's Law of Thermodynamics:^^Things get worse under pressure.
//
O'Toole's Commentary:^^Murphy was an optimist.
//
Alma Hill's Corollary's to Murphy's Law: ^- If we loose much by having things go wrong, take all possible care. ^- If we have nothing to loose by change, relax. ^- If we have everything to gain by change, relax. ^- If it doesn't matter -- it does not matter.
//
Alan's Law of Success:^^If at first you succeed, you have no idea what you're doing.
Alan's Second Law:^^Never eat anything bigger than your head.
Alan's Motto:^^It's easier to make true enemies than true friends.
Alan's Corollary on Time:^^Time sucks!
Allen's Axiom:^^When all else fails, follow instructions.
Allen's Distinction:^^The lion and the calf shall lie down together,^but the calf won't get much sleep.^^You can lead a horticulture,^but you can't make her think.
Allen's Law:^^Almost anything is easier to get into than out of.
Abrams' Principle:^^The shortest distance between two points is off the wall.
Achilles' Biological Findings:^^1. If a child looks like his father, it's heredity. ^2. If the child looks like a neighbour, it's environment. ^3. A lot of time has been wasted over which came first, the chicken or the egg.^^It was the rooster.
Ackley's Axiom:^^The degree of technical competence is inversely proportional to the level of management.
Agrait's Law:^^A rumour will travel fastest to the place where it will do the most damage.
Albert's Law of the Sea:^^The more they are in a fog, the more boats (and people) toot their horns.
Albinak's Algorithm:^^When graphing a function, the width of the line should be inversely proportional to the precision of the data.
Alexander Graham Bell's Observation:^^When a body is immersed in water, the phone rings.
Alinsky's Rule for Radicals:^^Those who are the most moral are furthest from the problem.
Anderson's Axiom:^^Throw it out -- worth a fortune. Keep it -- junk.
Anderson's First Maxim:^^Colleges and universities are immune to their own knowledge.
Anderson's Second Maxim:^^You can't out-think a person who isn't thinking.
Anthony's Law of Force:^^Don't force it, get a larger hammer.
Arndt's Truism:^^If you have never made a mistake, you have never made anything. ^^Lyall's curmudgeonly addendum:^^... or anyone.
Arnofy's Law of the Post Office:^^The likelyhood of a letter getting lost in the mail is directly proportional to its importance.
Arnold's Laws of Documentation:^^1.  If it should exist, it doesn't.^2.  If it does exist, it's out of date.^3.  Only documentation for useless programs transcends the first two laws.
Arthur's Laws of Love:^^1.  People to whom you are attracted invariably think you remind them of someone else.^2.  The lover letter you finally got the courage to send will be delayed in the mail long enough for you to make a fool of yourself in person.
Astor's Economic Insight:^^A man who has a million dollars is as well off as if he were rich.
Atkin's Adage:^^Miserable penny pinching, never-spend-a-dime people are not much fun to live with, but they make wonderful ancestors.
Atwood's Fourteenth Corollary:^^No books are lost by lending except those you particularly wanted to keep.
Augustine's Fundamental Law of Aeronautics:^^Never fly on an airplane with a tail number less than 10.
Austen's Aphorism:^^Single women have a dreadful propensity for being poor, which is one very strong argument in favour of matrimony.
Avery's Observation:^^It does not matter if you fall down as long as you pick up something from the floor while you get up.
Austin's Law:^^It tastes better at someone else's house.
Bachman's Corollary:^^The higher the level of prestige accorded the people behind a plan, the less chance of abandoning it.
Bachman's Law:^^The greater the cost of putting a plan into operation, the less chance of abandoning it.
Baker's Bylaw:^^When you are over the hill, you pick up speed.
Ballweg's Discovery:^^Whenever there is a flat surface, someone will find something to put on it.
Balogh's Law of Corporate Management:^^If there were only half the staff, corporate management would be ten times easier.
Banacek's Rule:^^When an owl shows up at the mouse picnic, he's not there to enter the sack race.
Barach's Rule:^^An alcoholic is a person who drinks more than his physician.
Barber's Rule:^^Anything worth doing is worth doing to excess.
Barne's Law of Probability:^^There's a fifty per cent chance of anything.^Either it will happen or it won't.
Baron's Law:^^The world is divided between victims and predators, and you have to defend you yourself against both.
Barrymore's Conclusion:^^The thing that takes up the least amount of time and causes the most amount of trouble is sex.
Beauregard's Law:^^When you are up to your eyeballs in it, keep your mouth shut.
Beckhap's Law:^^Beauty times brains equals a constant.
Beiser's Brass Tack:^^Facts without theory are trivia; theory without facts is bullshit.
Benchley's Law of Distinction:^^There are two kinds of people in the world,^^those who believe^ there are two kinds of people in the world^^and those who don't.
Berlei's Law:^^On the very day you have worn your frumpiest, dullest, greyest old bra, the man you have been secretly in love with for the last five years finally makes a pass at you -- and you are forced to slap his hands instead. - Sally MacGuiness^Brisbane Courier-Mail
Berra's Law:^^You can observe a lot just by watching.
Berra's Second Law:^^Anyone who is popular is bound to be disliked.
Big's Oblique Rule:^^Don't try to stem the tide; move the beach.
Blattenbenberger's Marital Principle:^^Marriages are like union contracts in that six weeks after the event, both parties feel that they could have done better if they had held out longer.
Blick's Rule of Life:^^You have two chances -- slim and none.
Block's Bombshell:^^A conclusion is the place where you got tired of thinking. - Arthur Block
Bob Rae's Ratio:^^Political ineptitude varies as the square of ideological rigidity.
Bobbitt's Law of TV:^^Television network trouble never occurs except during the most exciting part of your favourite program.
Boettcher's Attribution:^^If you have a bunch of clowns, you're going to have a circus.
Bolub's Fourth Law of Computerdom:^^Project teams detest weekly progress reporting because it so vividly manifests their lack of progress.
Bontchev's Laws of Computer viruses:^^1: If the virus can be made, it will be. ^2: If the virus cannot be made, it will be anyway.
Boorstein's Observation:^^Two centuries ago, when a great man appeared, people looked for God's purpose in him; now we look for his press agent.
Boorstlemann's Rule:^^If everything seems to be coming your way, you're probably in the wrong lane.
Booth's Observation:^^The best parachute folders are those who jump themselves.
Boren's Law:^^When in doubt, mumble.
Boren's Laws:^^When in doubt, mumble.^When in trouble, delegate.^When in charge, ponder.
Boucher's Corollary to Murphy's Law:^^Murphy's Law holds no more than eighty per cent of the time; ^unfortunately, it is impossible to predict when.
Boyle's First Law:^^The success of any venture will be helped by prayer, even in the wrong denomination.
Boyle's Second Law:^^An original idea will never emerge from a committee in the original form.
Boyle's Third Law:^^If not controlled, work will flow to the competent employee until he or she is submerged.
Bradley's Bromide:^^If computers get too pwerfule, we can orgranize them into a committee -- that will do them in.
Bradley's Reminder:^^Everything comes to him who waits, including death.
Brasington's Wisdom:^^When a programmer commits to a completion date, make sure it includes day, month, and year.
Brasington's First Law:^^You will never use the backup copy you just made.
Brasington's Second Law:^^The only backup copy you will ever need is either:^- the one you didn't have time to mke, or^- the one you did make but cannot read.
Brasington's Third Law:^^There is no danger in x-raying a scratch disk or tape. However, a boy scout's magnet can destroy the only copy of a file at 50 yards.
Brasington's Fourth Law:^^The probability that a given program will conform to expectations is inversely proportional to the programmer's confidence in his ability to do the job.
Brasington's Fifth Law:^^When a programmer tells you "no problem", you have a serious problem.
Brasington's Sixth Law:^^No system is ever completely debugged.^^Attempts to debug it invariably introduce new bugs which are even harder to find.
Brasington's Seventh Law:^^Projects progress quickly until they become 90% complete, then they remain 90% complete forever.
Brasington's Eighth Law:^^If project content is allowed to change freely, the rate of change will exceed the rate of progress.
Brasington's Ninth Law:^^A carelessly planned project takes three times longer to complete than expected; a carefully planned one will take only twice as long.
Brasington's Insight:^^One advantage of fuzzy project objectives is that they let you avoid the embarrassement of estimating the costs.
Brasington's Irrefutable Observation:^^State of the art software is not.^ User friendly software also is not.^State of the art user friendly software is an edp insider's joke.
Brasington's Note:^^Project teams detest project reporting because it vividly manifests their lack of progress.
Brauer's Warning:^^He who tries to pick all the flowers, is sure to get some poison ivy.
Brecht's Hierarchy of Needs:^^Grub first -- then ethics.
Bressler's Law:^^There is no crisis to which academics will not respond with a seminar.
Brewster's Exception:^^Every rule has its exceptions except this one:^a man must be present when he's being shaved.
Briggs-Chase Law of Program Development:^^To determine how long it will take to write and debug a program, take your best estimate, multiply that by two, add one, and convert to the next higher units.
Brock's Note:^^Enough things will go right to make you keep on trying;^enough things will go wrong to make you wish you hadn't.
Brooke's Law:^^Whenever a system becomes completely defined, some damn fool discovers something which either abolishes the system or expands it beyond recognition.
Brother's Sexist Comment:^^The biggest difference between men and boys is the price of their toys.
Brown's Insight:^^The only game that can't be fixed is peek-a-boo.
Buchwald's First Sans Souci Rule:^^Any rumour that survives forty eight hours is probably true.
Buchwald's Second Sans Souci Rule:^^When a cabinet minister comes to dine, everybody's lunch is tax deductible.
Buechner's Principle:^^The simplest explanation is that it just doesn't make sense.
Bye's First Law of Model Railroading:^^Anytime you wish to demonstrate something, the number of faults encountered is proportional to the number of viewers.
Byrne's Law of Concrete Placement:^^When you pour, it rains.
Caffyn's Rule on Pronouncements:^^The rosier the news, the higher ranking the official who announces it.
Canning's Law:^^Nothing is so fallacious as facts -- except figures.
Cannon's Comment:^^If you tell the boss you were late for work because you had a flat tire, the next morning you will have a flat tire.
Capra's Wisdom:^^A hunch is creativity trying to tell you something.
Captain Penny's Law:^^You can fool all of the people some of the time,^and some of the people all of the time,^but you Can't Fool Mom.
Captain Penny's Law:^^You can fool some of the people all of the time,^and all of the people some of the time,^but you can make a fool of yourself anytime.
Carson's Law:^^It's better to be rich and healthy than poor and sick.
Cayo's Law:^^The only things that start on time are those that you're late for.
Cheops' Law:^^Nothing ever gets built on schedule or within budget.
Cheops' Law:^^No project was ever completed on time and within budget.
Chilton's Theological-Clerical Rule:^^If you work in a church office you have to keep all of your equipment locked up because nothing is sacred.
Chisolm's Third Law, Corollary 1:^^If you explain so clearly that no one can misunderstand, somebody will.
Chisolm's Third Law, Corollary 2:^^If you do something which you are sure will meet with everyone's approval, somebody won't like it.
Chisolm's Third Law, Corollary 3:^^Procedures designed to implement the purpose won't quite work.
Churchill's Commentary on Man:^^Man will occasionally stumble over the truth, but most of the time he will pick himself up and continue on. - Winston Churchill, British statesman and writer (1874-1965)
Clark's Law of Leadership:^^A leader should not get too far in front of his troops or he will get shot in the arse.
Clarke's First Law:^^When a distinguished but elderly scientist states that something is possible, he is almost certainly right. When he states that something is impossible, he is very probably wrong.
Clarke's Second Law:^^The limits of the possible can only be defined by going beyond them into the impossible.
Clarke's Third Law:^^Any sufficiently advanced technology is indistinguishable from magic.
Cloak's Ratio:^^The urgency of any project is inversely proportional to its importance.
Coggins' Cold Truth:^^Conventional wisdom may be conventional but it is not wisdom.
Cohen's Law:^^What really matters is the name you succeed in imposing on the facts, not the facts themselves.
Cohn's First Law:^^In any bureaucracy, paperwork increases as you spend more and more time reporting on the less and less you are doing.
Cohn's Law:^^When all else fails, read the instructions.
Cohn's Second Law:^^In any bureaucracy, stability is achieved when you spend all of your time reporting on the nothing you are doing.
Cole's Axiom:^^The sum of the intelligence on the planet is a constant;^^the population is growing.
Cole's Law:^^Thinly sliced cabbage.
Colson's Law:^^When you've got them by the balls, their hearts and minds will follow.
Colvard's Logical Premises:^^All probabilities are 50%.^Either a thing will happen or it won't.^^Colvard's Unconscionable Commentary:^^This is especially true when dealing with someone you're attracted to.^Grelb's Commentary:^^Likelihoods, however, are 90% against you.
Comins' Law:^^People will accept your idea much more readily if you tell them Benjamin Franklin said it first.
Commoner's Second Law of Ecology:^^Nothing ever goes away.
Conrad's Conundrum:^^Technologies don't transfer.
Comroe's Definition:^^Serendipity is looking in a haystack for a needle and finding the farmer's daughter.
Conner's Second Law:^^If something is confidential, it will be left in the copier.
Conrad's Definition:^^A problem drinker is the one who never buys.
Conrad's consolation:^^One advantage of getting older is that there are more younger women all the time.
Conran's Law:^^First things first; second things never.
Conway's Law:^^In every organization there will always be one person who knows what is going on.^^This person must be fired.
Cooper's Metalaw:^^A proliferation of new laws creates a proliferation of new loopholes.
Corcoran's Laws of Nonsense:^^1 -- There are no laws of nonsense because laws are logical and nonsense is not.^2 -- Since the previous law is nonsense, ignore Corcoran's First Law of Nonsense.^3 -- If you don't like the first two laws of nonsense, come up with your own.
Coull's Comment:^^Every new project requires a tool that you don't have.^^Coull's First Corollory:^^The required tool is probably out of stock.^^Coull's Second Corollory:^^If the required tool is in stock, it is more expensive than any tool in your present kit.
Craine's Laws of Simplicity:^^For every simple solution, there are a number of complex problems.^^For every simple problem there are a number of complex problems.
Crane's Law:^^There ain't no such thing as a free lunch.
Crane's Rule:^^There are three ways to get something done:^do it yourself, hire someone to do it or forbid your kids from doing it.
Crayne's Law:^^All computers wait at the same speed.
Crisp's Creed:^^Don't try to keep up with the Joneses; drag them down to your level.
Crittendon's 14th application of Murphy's First Law:^^You cannot successfully determine beforehand which side of the bread to butter.
Cruikshank's Observation:^^We have met the enemy, in fact we elected him.
Cuppy's Note:^^All modern men are descended from wormlike creatures, but it shows more on some people.
Daugherty's Dictum:^^The computer is most likely to crash during backup.
DeVries' Dilemma:^^If you hit two keys on the typewriter, the one you don't want hits the paper.
Dewan's Law:^^A late train gets later.
Dieter's Law:^^Food that tastes best has the highest number of calories.
Don's Axiom:^^When all else fails, read the instructions.
Drew's Law of Highway Biology:^^The first bug to hit a clean windshield lands directly in front of the driver's eyes.
Ducharme's Axiom:^^If you examine your problem closely enough, you will recognize yourself as part of the problem.
Ducharme's Precept:^^Opportunity always knocks at the least opportune moment.
Edelstein's Corollory of Benchmarks:^^If the system you wanted to win, didn't, the benchmark wasn't fair.
Edelstein's First Law of Benchmarks:^^Every commercial product has its best performance on standard benchmarks.
Edelstein's Second Law of Benchmarks:^^In any fair benchmark, the DBMS you want to win, will win.
Edward's Law:^^If it weren't for the last minute, nothing would get done.
Ehler's First Law:^^When you find out how far you can go, you've gone too far.
Ehrman's Commentary:^^Things will get worse before they will get better.^Who said things would get better?
Eperson's Law:^^When a man says it's a silly childish game, it's probably something his wife can beat him at.
Epps Law of Elevators:^^A crowded elevator smells different to short people.
Eskimo Recipe for Loon Soup:^^Do not make Loon Soup.
Etorre's Observation:^^The other line moves faster.
Fagin's observation:^^Hindsight is an exact science.
Farnsdick's corollary:^^After things have gone from bad to worse, the cycle will repeat itself.
Faye's Declaration:^^There are too many menus and not enough appetite.
Ferguson's Law:^^A crisis is when you can't say "Let's forget the whole thing."
Fett's Law:^^Never replicate a successful experiment.
Finagle's Creed:^^Science is true. Don't be misled by facts.
Finagle's Principle:^^The perversity of the universe has no bounds.
Finagle's First Law:^^If an experiment works, something has gone wrong.
Finagle's Second Law:^^No matter what the experiment's result, there will always be someone eager to:^^(a) misinterpret it.^(b) fake it.^or^(c) believe it supports his own pet theory.
Finagle's Third Law:^^In any collection of data, the figure most obviously correct, beyond all need of checking, is the mistake.^^^Corollaries:^^1.  Nobody whom you ask for help will see it. ^2.  The first person who stops by, whose advice you really don't want to hear, will see it immediately.
Finagle's Fourth Law:^^Once a job is messed up, anything done to improve it only makes it worse.
Firestone's Law of Forecasting:^^Chicken Little only has to be right once.
Forsyth's Law:^^Just when you see the light at the end of the tunnel, the roof caves in on you.
Foster's Law:^^The only people who find what they are looking for in life are the fault finders.
Foster's Query:^^If the polls are so accurate, why are there so many polling companies?
Friedman's Find:^^Hell hath no fury like a bureaucrat scorned. - Milton Friedman
Fuller's Law of Cosmic Irreversability:^^1 Pot T == 1 Pot P ^1 Pot P != 1 Pot T - Buckminster Fuller
G.B. Shaw's Law:^^Those who can, do.^Those who can't, teach.^^Martin's Extension:^^Those who can't teach, administrate.^^Lyall's Insight:^^The above completely explains sex education.
Galbraith's Law of Political Wisdom:^^Anyone who says he is not going to resign, four times, definitely will.
Gallois' Revelation:^^If you put tomfoolery into a computer, nothing comes out but tomfoolery. But this tomfoolery, having passed through a very expensive machine, is somehow enobled, and no one dares to criticize it.
Geraldo's Ratio:^^The dumber the TV show, the bigger the ratings.
Gerrold's Fundamental Truth:^^It's a good thing money can't buy happiness.^^We couldn't stand the commercials.
Gerrold's Law:^^A little ignorance can go a long way.^^Lyall's Addendum:^^  ... in the direction of maximum harm.
Gerrold's Laws of Infernal Dynamics:^^1. An object in motion will be heading in the wrong direction.^2. An object at rest will be in the wrong place.
Gerrold's Pronouncement:^^The difference between a politician and a snail is that a snail leaves its slime behind.
Gershwin's Law:^^It ain't necessarily so.
Gibb's Law:^^Infinity is one lawyer waiting for another.
Gillenson's Law of Expectation:^^Never get excited over how people look from behind.
Ginsberg's Theorems:^^1) You can't win. ^2) You can't break even. ^3) You can't even quit the game.
Ginsberg's Restatement of the Three Laws of Thermodynamics:^^You can't win.^You can't break even.^You can't quit.
Glatum's Law of Materialistic Acquisitiveness:^^The perceived usefulness of an article is inversely proportional to its actual usefulness once bought and paid for.
Glib's Fourth Law of Unreliability:^^Investment in reliability will increase until it exceeds the probable cost of errors, or until someone insists on getting some useful work done.
Goebel's Law of Rush Hour Traffic:^^What speeds up, must slow down.^^But who says it's ever gonna speed up?
Gold's Law:^^If the shoe fits, it's ugly.
Goldwyn's Law of Contracts:^^A verbal contract isn't worth the paper it's written on.
Good's Rule of Bureaucracies:^^When the government's remedies do not solve the problem, you modify the problem, not the remedy.
Gordon's First Law:^^If a project is not worth doing at all, it's not worth doing well.
Gordon's Rule:^^I think there is one smashing rule.^^Don't face facts.
Gourd's Axiom:^^A meeting is an event at which the minutes are kept and the hours are lost.
Grandma Solderquist's Conclusion:^^There are more horses' asses in the world than there are horses.
Grizzard's truism:^^The trouble with most jobs is the job holder's resemblance to being one of a sled dog team. No one gets a change of scenery except the lead dog.
Grossman's Misquote:^^Complex problems have simple, easy to understand wrong answers.
Gumperson's Law:^^The probability of anything happening is in inverse ratio to its desirability.
Gumperson's Law:^^The probability of anything happening is inversely proportional to its desirability.
Hall's Laws of Politics:^^1. The voters want fewer taxes and more spending.^2. Citizens want honest politicians until they need something fixed.^3. Constituency drives out consistency (i.e. liberals defend military spending and conservatives social spending in their own constituency.)
Handy Guide to Modern Science:^^1.  If it's green or it wiggles, it's biology.^2.  If it stinks, it's chemistry.^3.  If it doesn't work, it's physics.^4.  If it's incomprehensible, it's mathematics.^5.  If it doesn't make sense, it's either economics or psychology.
Hane's Law:^^There is no limit to how bad things can get.
Hanlon's Assertion:^^An unwatched printer always falters.
Hanlon's Razor:^^Never attribute to malice that which is adequately explained by stupidity.
Harris' Lament:^^All the good ones are taken.
Harrison's Postulate:^^For every action, there is an equal and opposite criticism.
Hartley's First Law:^^You can lead a horse to water, but if you can get him to float on his back, you've got something.
Hartley's Second Law:^^Never go to bed with anybody crazier than you are.
Harver's Law:^^A drunken man's words are a sober man's thoughts.
Hawkin's Theory of Progress:^^Progress does not consist of replacing a theory that is wrong with one that is right. It consists of replacing a theory that is wrong with one that is more subtly wrong.
Heblock's Horror:^^If it's good, they'll stop making it.
Heise's Law of Anatomy:^^When the mouth opens, the ears slam shut.
Hellrung's Law:^^If you wait, it will go away.^^Shevelson's Extension:^^... having done its damage.^^Grelb's Addition:^^... if it was bad, it will be back.
Hoare's Law of Large Problems:^^Inside every large problem is a small problem struggling to get out.
Hofstadter's Law:^^It always takes longer than you expect, even when you take Hofstadter's Law into account.
Hofstadter's Law:^^The time and effort required to complete a project are always more than you expect, even when you take into account Hofstadter's Law.
Horngren's Observation:^^(generalized)^^The real world is a special case.
Horngren's Observation:^^Among economists, the real world is often a special case.
Horwood's First Law:^^Good data is the data you already have.
Horwood's Second Law:^^Bad data drives out good.
Horwood's Third Law:^^The data you have for the present crisis was collected to relate to the previous one.
Horwood's Fourth Law:^^The respectability of existing data grows with elapsed time and distance from the data source to the investigator.
Horwood's Fifth Law:^^Data can be moved from one office to another but it cannot be created or destroyed.
Horwood's Sixth Law:^^If you have the right data you have the wrong problem; and vice versa.
Horwood's Seventh Law:^^The important thing is not what you do, but how you measure it.
Horwood's Eighth Law:^^In complex systems, there is no relationship between information gathered and decisions made.
Horwood's Ninth Law:^^Acquisition of knowledge from experience is an exception.
Horwood's Tenth Law:^^Knowledge grows at half the rate at which academic courses proliferate.
Howe's Law:^^Everyone has a scheme that will not work.
